------------ Generated ActiGraph data date format M/d/yyyy at 80 Hz  -----------
Start Time 09:30:05.500
Start Date 1/1/2000
--------------------------------------------------
Accelerometer X,Accelerometer Y,Accelerometer Z
0.000,0.000,0.000
0.007,0.013,0.026
0.014,0.027,0.051
0.021,0.040,0.076
0.027,0.053,0.101
0.034,0.065,0.125
0.040,0.078,0.148
0.047,0.089,0.171
0.053,0.101,0.192
0.058,0.111,0.213
0.063,0.121,0.232
0.068,0.131,0.249
0.073,0.139,0.265
0.077,0.147,0.280
0.081,0.154,0.293
0.084,0.160,0.304
0.087,0.165,0.313
0.090,0.170,0.320
0.091,0.173,0.326
0.093,0.175,0.329
0.094,0.176,0.331
0.094,0.177,0.330
0.094,0.176,0.328
0.094,0.175,0.323
0.093,0.172,0.317
0.091,0.168,0.309
0.089,0.164,0.299
0.087,0.159,0.287
0.084,0.153,0.274
0.081,0.146,0.259
0.077,0.138,0.242
0.073,0.129,0.224
0.069,0.120,0.205
0.065,0.111,0.185
0.060,0.101,0.163
0.055,0.090,0.141
0.050,0.079,0.118
0.044,0.068,0.094
0.039,0.056,0.070
0.033,0.045,0.046
0.028,0.033,0.021
0.022,0.021,-0.003
0.017,0.010,-0.028
0.011,-0.002,-0.052
0.006,-0.013,-0.076
0.000,-0.024,-0.099
-0.005,-0.035,-0.121
-0.009,-0.045,-0.142
-0.014,-0.055,-0.163
-0.018,-0.064,-0.182
-0.022,-0.072,-0.200
-0.026,-0.080,-0.216
-0.029,-0.087,-0.231
-0.032,-0.093,-0.245
-0.034,-0.098,-0.256
-0.036,-0.103,-0.266
-0.037,-0.106,-0.275
-0.038,-0.109,-0.281
-0.039,-0.110,-0.285
-0.039,-0.111,-0.288
-0.039,-0.111,-0.288
-0.038,-0.109,-0.287
-0.036,-0.107,-0.283
-0.034,-0.104,-0.278
-0.032,-0.099,-0.270
-0.029,-0.094,-0.261
-0.026,-0.088,-0.250
-0.022,-0.081,-0.237
-0.018,-0.073,-0.223
-0.013,-0.065,-0.207
-0.008,-0.055,-0.189
-0.003,-0.045,-0.170
0.003,-0.035,-0.150
0.009,-0.023,-0.128
0.015,-0.012,-0.106
0.021,0.001,-0.083
0.028,0.013,-0.059
0.035,0.026,-0.034
0.041,0.039,-0.009
0.048,0.053,0.017
0.055,0.066,0.042
0.062,0.079,0.068
0.069,0.093,0.094
0.076,0.106,0.119
0.083,0.119,0.143
0.089,0.131,0.168
0.096,0.143,0.191
0.102,0.155,0.213
0.108,0.167,0.235
0.113,0.177,0.255
0.119,0.187,0.274
0.124,0.197,0.292
0.128,0.205,0.308
0.132,0.213,0.322
0.136,0.220,0.335
0.140,0.226,0.346
0.142,0.231,0.355
0.145,0.235,0.363
0.147,0.239,0.368
0.148,0.241,0.372
0.149,0.242,0.373
0.150,0.243,0.373
0.150,0.242,0.370
0.149,0.240,0.366
0.148,0.238,0.360
0.146,0.234,0.351
0.145,0.230,0.341
0.142,0.225,0.330
0.139,0.218,0.316
0.136,0.211,0.301
0.133,0.204,0.285
0.129,0.195,0.267
0.124,0.186,0.248
0.120,0.177,0.227
0.115,0.167,0.206
0.110,0.156,0.183
0.105,0.145,0.160
0.100,0.134,0.137
0.094,0.122,0.113
0.089,0.111,0.088
0.083,0.099,0.064
0.077,0.087,0.039
0.072,0.075,0.015
0.066,0.064,-0.009
0.061,0.053,-0.033
0.056,0.042,-0.056
0.051,0.031,-0.078
0.046,0.021,-0.100
0.041,0.011,-0.120
0.037,0.002,-0.139
0.033,-0.006,-0.157
0.030,-0.014,-0.174
0.027,-0.021,-0.189
0.024,-0.027,-0.202
0.021,-0.032,-0.214
0.019,-0.037,-0.224
0.018,-0.040,-0.232
0.017,-0.043,-0.238
0.016,-0.044,-0.243
0.016,-0.045,-0.245
0.017,-0.045,-0.246
0.018,-0.043,-0.244
0.019,-0.041,-0.241
0.021,-0.038,-0.235
0.023,-0.034,-0.228
0.026,-0.028,-0.219
0.030,-0.022,-0.208
0.033,-0.015,-0.195
0.038,-0.008,-0.180
0.042,0.001,-0.164
0.047,0.010,-0.147
0.052,0.020,-0.128
0.058,0.031,-0.107
0.064,0.042,-0.086
0.070,0.054,-0.064
0.077,0.066,-0.040
0.083,0.079,-0.016
0.090,0.092,0.009
0.097,0.105,0.034
0.104,0.118,0.059
0.111,0.132,0.085
0.118,0.145,0.110
0.124,0.158,0.136
0.131,0.172,0.161
0.138,0.185,0.186
0.145,0.197,0.210
0.151,0.209,0.233
0.157,0.221,0.256
0.163,0.232,0.277
0.169,0.243,0.297
0.174,0.253,0.316
0.179,0.263,0.334
0.184,0.271,0.350
0.188,0.279,0.365
0.192,0.286,0.377
0.195,0.292,0.388
0.198,0.297,0.398
0.200,0.301,0.405
0.202,0.305,0.410
0.203,0.307,0.414
0.204,0.308,0.415
0.205,0.309,0.415
0.205,0.308,0.413
0.204,0.306,0.408
0.203,0.304,0.402
0.202,0.300,0.394
0.200,0.296,0.384
0.197,0.290,0.372
0.195,0.284,0.359
0.191,0.277,0.344
0.188,0.270,0.327
0.184,0.261,0.309
0.180,0.252,0.290
0.175,0.243,0.270
0.170,0.232,0.248
0.165,0.222,0.226
0.160,0.211,0.203
0.155,0.200,0.179
0.149,0.188,0.155
0.144,0.176,0.131
0.138,0.165,0.106
0.133,0.153,0.081
0.127,0.141,0.057
0.122,0.130,0.033
0.116,0.119,0.009
0.111,0.108,-0.014
0.106,0.097,-0.036
0.101,0.087,-0.057
0.097,0.077,-0.078
0.092,0.068,-0.097
0.089,0.060,-0.115
0.085,0.052,-0.131
0.082,0.045,-0.147
0.079,0.039,-0.160
0.077,0.034,-0.172
0.075,0.029,-0.182
0.073,0.026,-0.190
0.072,0.023,-0.196
0.072,0.022,-0.201
0.072,0.021,-0.203
0.072,0.021,-0.203
0.073,0.023,-0.202
0.074,0.025,-0.198
0.076,0.028,-0.193
0.079,0.032,-0.186
0.082,0.037,-0.176
0.085,0.044,-0.165
0.089,0.051,-0.153
0.093,0.058,-0.138
0.097,0.067,-0.122
0.102,0.076,-0.104
0.108,0.086,-0.085
0.113,0.097,-0.065
0.119,0.108,-0.044
0.125,0.120,-0.021
0.132,0.132,0.002
0.138,0.145,0.026
0.145,0.158,0.051
0.152,0.171,0.076
0.159,0.184,0.102
0.166,0.198,0.127
0.173,0.211,0.153
0.180,0.224,0.178
0.187,0.237,0.203
0.193,0.250,0.228
0.200,0.263,0.252
0.206,0.275,0.276
0.213,0.287,0.298
0.218,0.298,0.320
0.224,0.309,0.340
0.229,0.319,0.359
0.234,0.328,0.376
0.239,0.337,0.392
0.243,0.345,0.407
0.247,0.352,0.420
0.250,0.358,0.431
0.253,0.363,0.440
0.255,0.367,0.447
0.257,0.370,0.453
0.259,0.373,0.456
0.260,0.374,0.458
0.260,0.374,0.457
0.260,0.374,0.455
0.260,0.372,0.451
0.259,0.370,0.444
0.257,0.366,0.436
0.255,0.362,0.426
0.253,0.356,0.414
0.250,0.350,0.401
0.247,0.343,0.386
0.243,0.335,0.369
0.239,0.327,0.351
0.235,0.318,0.332
0.230,0.308,0.312
0.226,0.298,0.290
0.221,0.288,0.268
0.215,0.277,0.245
0.210,0.265,0.221
0.205,0.254,0.197
0.199,0.242,0.173
0.194,0.231,0.148
0.188,0.219,0.124
0.182,0.207,0.099
0.177,0.196,0.075
0.172,0.184,0.052
0.166,0.173,0.029
0.161,0.163,0.006
0.157,0.153,-0.015
0.152,0.143,-0.036
0.148,0.134,-0.055
0.144,0.126,-0.073
0.140,0.118,-0.089
0.137,0.111,-0.104
0.134,0.105,-0.118
0.132,0.100,-0.129
0.130,0.095,-0.139
0.128,0.092,-0.148
0.127,0.089,-0.154
0.127,0.087,-0.158
0.127,0.087,-0.161
0.127,0.087,-0.161
